Updated 18-Jan-2024. Data version 1.1, RHmax=100,Scatmax=2500 ,,,,,,,,,,
Year,Month,Day,Hour,Temp_degC,Pressure,%RH,Back_Scat_Red,Back_Scat_Green,Back_Scat_Blue,Total_Scat_Red,Total_Scat_Green,Total_Scat_Blue
2019,11,25,18,19.7,101.39,62,5.5,6.3,7.7,38.6,50.2,66.7
2019,11,25,19,19.5,101.43,63,5.5,6.3,7.8,39.7,51.2,68
2019,11,25,20,18.5,101.44,66,5.6,6.6,8.3,41.2,53.4,71.3
2019,11,25,21,16.8,101.45,67,5.4,6.1,7.8,38,49,65.8
2019,11,25,22,15.7,101.46,68,5.1,5.7,7.2,35.3,45.1,60.5
2019,11,25,23,15.1,101.45,67,5.1,5.6,7.3,32.2,40.8,55
2019,11,26, 00,14.2,101.46,67,5.6,6.4,8.3,37.1,46.6,62.4
2019,11,26, 01,13.1,101.41,67,6.1,6.6,8.5,37.3,45.8,61.2
2019,11,26, 02,12.5,101.39,66,7,7.4,9.2,41.6,48,61.7
2019,11,26, 03,12.2,101.37,65,4.8,5.3,6.7,26.4,33,45
2019,11,26, 04,12.3,101.37,65,5.7,6.3,8,33.2,40.8,54.6
2019,11,26, 05,10.4,101.44,70,9.2,10,12.2,56.3,65.7,84.6
2019,11,26, 06,9.6,101.51,73,7.9,8.6,11.1,51.9,63,83.4
2019,11,26, 07,11.3,101.57,72,12.3,13.2,16,70.3,81.6,104.5
2019,11,26, 08,19.4,101.55,59,8.3,9.2,11.3,48.5,57.6,73.7
2019,11,26, 09,25.6,101.55,49,4.7,5.3,6.4,30,36.9,47.7
